id,ipo_id,object_id,valuation_amount,valuation_currency_code,raised_amount,raised_currency_code,public_at,stock_symbol,source_url,source_description,created_at,updated_at
80,93,c:12287,,USD,,,1/3/2000,NASDAQ:WBSN,,,27/1/2009 22:35:29,9/3/2010 18:41:11
81,94,c:18116,,USD,,,14/2/2008,GOCH,,,31/1/2009 21:00:07,31/1/2009 21:00:07
82,95,c:18131,,CAD,,,,CPAH,,,31/1/2009 21:31:48,6/6/2010 02:03:17
83,96,c:18136,,USD,,USD,,NASDAQ:SHOR,,,31/1/2009 21:43:38,29/3/2012 02:59:37
84,97,c:18378,,USD,,,,TREE,,,6/2/2009 20:25:26,6/2/2009 20:25:26
85,98,c:13389,,USD,,,28/7/1999,DSCM,,,9/2/2009 02:19:25,9/2/2009 02:23:42
86,99,c:16531,,USD,,,1/1/2005,LYV,,,10/2/2009 16:45:46,10/2/2009 16:45:46
87,101,c:21123,,USD,,,2/4/2009,CYOU,,,6/4/2009 19:46:21,6/4/2009 19:46:21
88,102,c:7618,,USD,,,8/2/2006,VG,,,14/4/2009 20:27:21,14/4/2009 20:27:21
89,104,c:6234,,USD,,,8/5/2007,PROJ,,,14/4/2009 21:00:47,14/4/2009 21:00:47
90,105,c:16282,,USD,,,20/10/2006,VRAZ,,,14/4/2009 21:03:45,14/4/2009 21:03:45
91,106,c:13642,,USD,,,1/1/2000,CTCH,,,29/4/2009 20:03:03,29/4/2009 20:03:03
92,107,c:17731,,USD,,USD,29/9/2006,NASDAQ:RVBD,,,11/5/2009 05:24:58,16/4/2012 03:56:43
93,108,c:14963,,USD,,USD,7/3/1999,NASDAQ:INFA,http://nghgiwfwwinq.com/,unLEmoncF,12/5/2009 19:48:35,2/6/2012 00:43:49
94,109,c:13219,,USD,600000000,USD,1/3/2007,NASDAQ:CLWR,http://www.networkworld.com/news/2007/030807-clearwire-ipo-jumps-up-on.html,,26/5/2009 19:59:48,24/2/2012 20:48:31
95,110,c:4303,134000000,USD,,,2/11/2010,GKNT,,,28/5/2009 22:19:39,3/11/2010 17:52:03
96,111,c:24746,5000000,USD,,,23/7/2008,SOLR,,,15/6/2009 21:06:33,15/6/2009 21:14:17
97,112,c:24745,55000000,USD,,,8/5/2008,RSOL,,,15/6/2009 21:13:49,15/6/2009 21:13:49
98,113,c:24773,,USD,,USD,23/10/2007,NASDAQ:LBAS,,,16/6/2009 03:42:34,7/10/2013 13:19:25
99,114,c:601,1050000000,USD,,,21/5/2009,NASDAQ:OPEN,,,17/6/2009 06:30:07,11/2/2012 20:40:49
100,115,c:25013,95500000,USD,,,18/5/2007,ENOC,,,19/6/2009 19:07:03,19/6/2009 19:07:03
