id,object_id,degree_type,subject,institution,graduated_at,created_at,updated_at
55,p:2371,BA,Psychology,"University of California, Berkeley",,1/3/2008 21:37:48,1/3/2008 21:37:48
56,p:2279,BA,ISF,"University of California, Berkeley",1/1/1997,1/3/2008 21:53:28,14/8/2013 05:35:21
57,p:2834,BS,,Harvard University,,1/3/2008 21:55:35,1/3/2008 21:55:35
58,p:2834,MBA,,Havard Business School,,1/3/2008 21:55:35,1/3/2008 21:55:35
59,p:5547,BS,Political Science,University of Florida,1/1/1994,2/3/2008 09:35:36,2/3/2008 09:35:36
60,p:5547,MS,,University of Kentucky,1/1/1998,2/3/2008 09:35:36,2/3/2008 09:35:36
61,p:1434,BS,Computer Science,UNC - Chapel Hill,1/1/2004,3/3/2008 19:25:01,3/3/2008 19:25:01
62,p:3915,BA,Computer Science,Cornell University,1/1/2003,3/3/2008 19:25:22,3/3/2008 19:25:22
63,p:6202,BA,Physics,Gustavus Adolphus College,1/1/2005,3/3/2008 19:26:58,3/3/2008 19:26:58
64,p:6202,MS,Electrical Engineering,University of Minnesota,1/1/2007,3/3/2008 19:26:58,3/3/2008 19:26:58
65,p:5001,MBA,,"Northwestern University, Kellogg School of Management",1/1/2006,3/3/2008 19:28:56,3/3/2008 19:28:56
66,p:6135,MBA,,Executive MBA,1/1/1995,3/3/2008 19:31:22,3/3/2008 19:31:22
67,p:2209,BS,English: Professional Writing,Kutztown University,1/1/2003,3/3/2008 19:34:46,3/3/2008 19:34:46
68,p:3024,BS,Software Engineering,Auburn University,1/1/2004,3/3/2008 19:41:07,3/3/2008 19:41:07
69,p:6860,BA,Economics,Harvard University,,4/3/2008 18:10:52,4/3/2008 18:10:52
70,p:6860,MBA,,Harvard Business School,,4/3/2008 18:10:52,4/3/2008 18:10:52
71,p:6893,BS,Business Administration,University of Southern California (USC),1/1/2000,4/3/2008 19:52:57,4/3/2008 19:52:57
72,p:6934,BS,English Lit,Whittier College,1/1/2005,4/3/2008 23:23:03,4/3/2008 23:23:03
73,p:3026,BS,Mathematics,Bates College,,4/3/2008 23:39:56,4/3/2008 23:39:56
74,p:3027,PhD,Theoretical Physics,University of Moscow,,4/3/2008 23:40:38,4/3/2008 23:40:38
75,p:3457,BS,Industrial Engineering & Engineering Management,Stanford University,1/1/1993,5/3/2008 00:22:26,11/7/2013 02:34:17
76,p:3457,MBA,Business,Harvard Business School,1/1/1998,5/3/2008 00:22:26,11/7/2013 02:34:02
77,p:1238,BA,History / Political Science,"University of California, Los Angeles (UCLA)",1/1/2005,5/3/2008 00:38:04,5/3/2008 00:38:04
78,p:6944,BA,"History, French, Political Science",Middlebury College,1/1/1986,5/3/2008 18:18:55,18/7/2013 09:59:24
79,p:2223,BS,Computer Science + Business Management,"University of Maryland, CP",1/1/2003,6/3/2008 21:52:14,6/3/2008 21:52:14
80,p:3502,BA,Computer Science,Open University,,6/3/2008 22:50:25,6/3/2008 22:50:25
81,p:5927,BA,Computer Science,UCSD,1/1/1996,6/3/2008 22:58:47,6/3/2008 22:58:47
82,p:5927,MS,Computer Science,UCSD,1/1/1998,6/3/2008 22:59:12,6/3/2008 22:59:12
83,p:4304,BA,Computer Science,"University of California, Berkeley",1/1/1985,7/3/2008 02:37:50,7/3/2008 02:37:50
84,p:3770,BA,"math, physics",University of Chicago,1/1/2005,7/3/2008 14:33:34,7/3/2008 14:39:45
85,p:7042,MBA,,Harvard Business School,,7/3/2008 20:06:32,7/3/2008 20:06:32
86,p:7042,BA,International Business and Political Science,Ohio Wesleyan University,,7/3/2008 20:06:33,7/3/2008 20:06:33
